"latitude","longitude","pm2_5_level","no2_level"
42.245,-71.1289,0.98,15.08
42.255,-71.1289,0.98,15.08
42.265,-71.1289,0.98,15.08
42.275,-71.1289,0.98,15.08
42.285,-71.1289,0.98,15.08
42.295,-71.1289,0.98,15.08
42.305,-71.1289,0.98,15.08
42.315,-71.1289,0.98,15.08
42.325,-71.1289,0.98,15.08
42.335,-71.1289,0.98,15.08
42.345,-71.1289,0.98,15.08
42.355,-71.1289,0.98,15.08
42.365,-71.1289,0.98,15.08
42.375,-71.1289,0.98,15.08
42.385,-71.1289,0.98,15.08
42.245,-71.1189,0.98,15.08
42.255,-71.1189,0.98,15.08
42.265,-71.1189,0.98,15.08
42.275,-71.1189,0.98,15.08
42.285,-71.1189,0.98,15.08
42.295,-71.1189,0.98,15.08
42.305,-71.1189,0.98,15.08
42.315,-71.1189,0.98,15.08
42.325,-71.1189,0.98,15.08
42.335,-71.1189,0.98,15.08
42.345,-71.1189,0.98,15.08
42.355,-71.1189,0.98,15.08
42.365,-71.1189,0.98,15.08
42.375,-71.1189,0.98,15.08
42.385,-71.1189,0.98,15.08
42.245,-71.1089,0.98,15.08
42.255,-71.1089,0.98,15.08
42.265,-71.1089,0.98,15.08
42.275,-71.1089,0.98,15.08
42.285,-71.1089,0.98,15.08
42.295,-71.1089,0.98,15.08
42.305,-71.1089,0.98,15.08
42.315,-71.1089,0.98,15.08
42.325,-71.1089,0.98,15.08
42.335,-71.1089,0.98,15.08
42.345,-71.1089,0.98,15.08
42.355,-71.1089,0.98,15.08
42.365,-71.1089,0.98,15.08
42.375,-71.1089,0.98,15.08
42.385,-71.1089,0.98,15.08
42.245,-71.0989,0.98,15.08
42.255,-71.0989,0.98,15.08
42.265,-71.0989,0.98,15.08
42.275,-71.0989,0.98,15.08
42.285,-71.0989,0.98,15.08
42.295,-71.0989,0.98,15.08
42.305,-71.0989,0.98,15.08
42.315,-71.0989,0.98,15.08
42.325,-71.0989,0.98,15.08
42.335,-71.0989,0.98,15.08
42.345,-71.0989,0.98,15.08
42.355,-71.0989,0.98,15.08
42.365,-71.0989,0.98,15.08
42.375,-71.0989,0.98,15.08
42.385,-71.0989,0.98,15.08
42.245,-71.0889,0.98,15.08
42.255,-71.0889,0.98,15.08
42.265,-71.0889,0.98,15.08
42.275,-71.0889,0.98,15.08
42.285,-71.0889,0.98,15.08
42.295,-71.0889,0.98,15.08
42.305,-71.0889,0.98,15.08
42.315,-71.0889,0.98,15.08
42.325,-71.0889,0.98,15.08
42.335,-71.0889,0.98,15.08
42.345,-71.0889,0.98,15.08
42.355,-71.0889,0.98,15.08
42.365,-71.0889,0.98,15.08
42.375,-71.0889,0.98,15.08
42.385,-71.0889,0.98,15.08
42.245,-71.0789,0.98,15.08
42.255,-71.0789,0.98,15.08
42.265,-71.0789,0.98,15.08
42.275,-71.0789,0.98,15.08
42.285,-71.0789,0.98,15.08
42.295,-71.0789,0.98,15.08
42.305,-71.0789,0.98,15.08
42.315,-71.0789,0.98,15.08
42.325,-71.0789,0.98,15.08
42.335,-71.0789,0.98,15.08
42.345,-71.0789,0.98,15.08
42.355,-71.0789,0.98,15.08
42.365,-71.0789,0.98,15.08
42.375,-71.0789,0.98,15.08
42.385,-71.0789,0.98,15.08
42.245,-71.0689,0.98,15.08
42.255,-71.0689,0.98,15.08
42.265,-71.0689,0.98,15.08
42.275,-71.0689,0.98,15.08
42.285,-71.0689,0.98,15.08
42.295,-71.0689,0.98,15.08
42.305,-71.0689,0.98,15.08
42.315,-71.0689,0.98,15.08
42.325,-71.0689,0.98,15.08
42.335,-71.0689,0.98,15.08
42.345,-71.0689,0.98,15.08
42.355,-71.0689,0.98,15.08
42.365,-71.0689,0.98,15.08
42.375,-71.0689,0.98,15.08
42.385,-71.0689,0.98,15.08
42.245,-71.0589,0.98,15.08
42.255,-71.0589,0.98,15.08
42.265,-71.0589,0.98,15.08
42.275,-71.0589,0.98,15.08
42.285,-71.0589,0.98,15.08
42.295,-71.0589,0.98,15.08
42.305,-71.0589,0.98,15.08
42.315,-71.0589,0.98,15.08
42.325,-71.0589,0.98,15.08
42.335,-71.0589,0.98,15.08
42.345,-71.0589,0.98,15.08
42.355,-71.0589,0.98,15.08
42.365,-71.0589,0.98,15.08
42.375,-71.0589,0.98,15.08
42.385,-71.0589,0.98,15.08
42.245,-71.0489,0.98,15.08
42.255,-71.0489,0.98,15.08
42.265,-71.0489,0.98,15.08
42.275,-71.0489,0.98,15.08
42.285,-71.0489,0.98,15.08
42.295,-71.0489,0.98,15.08
42.305,-71.0489,0.98,15.08
42.315,-71.0489,0.98,15.08
42.325,-71.0489,0.98,15.08
42.335,-71.0489,0.98,15.08
42.345,-71.0489,0.98,15.08
42.355,-71.0489,0.98,15.08
42.365,-71.0489,0.98,15.08
42.375,-71.0489,0.98,15.08
42.385,-71.0489,0.98,15.08
42.245,-71.0389,0.98,15.08
42.255,-71.0389,0.98,15.08
42.265,-71.0389,0.98,15.08
42.275,-71.0389,0.98,15.08
42.285,-71.0389,0.98,15.08
42.295,-71.0389,0.98,15.08
42.305,-71.0389,0.98,15.08
42.315,-71.0389,0.98,15.08
42.325,-71.0389,0.98,15.08
42.335,-71.0389,0.98,15.08
42.345,-71.0389,0.98,15.08
42.355,-71.0389,0.98,15.08
42.365,-71.0389,0.98,15.08
42.375,-71.0389,0.98,15.08
42.385,-71.0389,0.98,15.08
42.245,-71.0289,0.98,15.08
42.255,-71.0289,0.98,15.08
42.265,-71.0289,0.98,15.08
42.275,-71.0289,0.98,15.08
42.285,-71.0289,0.98,15.08
42.295,-71.0289,0.98,15.08
42.305,-71.0289,0.98,15.08
42.315,-71.0289,0.98,15.08
42.325,-71.0289,0.98,15.08
42.335,-71.0289,0.98,15.08
42.345,-71.0289,0.98,15.08
42.355,-71.0289,0.98,15.08
42.365,-71.0289,0.98,15.08
42.375,-71.0289,0.98,15.08
42.385,-71.0289,0.98,15.08
42.245,-71.0189,0.98,15.08
42.255,-71.0189,0.98,15.08
42.265,-71.0189,0.98,15.08
42.275,-71.0189,0.98,15.08
42.285,-71.0189,0.98,15.08
42.295,-71.0189,0.98,15.08
42.305,-71.0189,0.98,15.08
42.315,-71.0189,0.98,15.08
42.325,-71.0189,0.98,15.08
42.335,-71.0189,0.98,15.08
42.345,-71.0189,0.98,15.08
42.355,-71.0189,0.98,15.08
42.365,-71.0189,0.98,15.08
42.375,-71.0189,0.98,15.08
42.385,-71.0189,0.98,15.08
42.245,-71.0089,0.98,15.08
42.255,-71.0089,0.98,15.08
42.265,-71.0089,0.98,15.08
42.275,-71.0089,0.98,15.08
42.285,-71.0089,0.98,15.08
42.295,-71.0089,0.98,15.08
42.305,-71.0089,0.98,15.08
42.315,-71.0089,0.98,15.08
42.325,-71.0089,0.98,15.08
42.335,-71.0089,0.98,15.08
42.345,-71.0089,0.98,15.08
42.355,-71.0089,0.98,15.08
42.365,-71.0089,0.98,15.08
