date, pm25, pm10, o3, no2, so2, co
2023/11/2, 18, , 21, 15, , 3
2023/11/3, 22, , 26, 16, , 3
2023/11/4, 29, , 25, 16, , 5
2023/11/5, 33, , 28, 18, , 5
2023/11/6, 48, , 19, 11, , 2
2023/11/7, 25, , 35, 12, , 3
2023/11/8, 41, , 22, 10, , 2
2023/11/9, 9, , 10, 16, , 4
2023/11/10, 23, , 17, 14, , 4
2023/11/11, 24, , 23, 9, , 3
2023/11/12, 16, , 23, 12, , 3
2023/11/13, 23, , 18, 17, , 4
2023/11/14, 27, , 18, 15, , 4
2023/11/15, 28, , 13, 14, , 4
2023/11/16, 24, , 18, 20, , 5
2023/11/17, 46, , 28, 17, , 5
2023/11/18, 42, , 23, 10, , 3
2023/11/19, 17, , 9, 10, , 2
2023/11/20, 17, , 21, 11, , 2
2023/11/21, 14, , 20, 13, , 3
2023/11/22, 19, , 22, 8, , 3
2023/11/23, 15, , 19, 7, , 3
2023/11/24, 11, , 26, 8, , 3
2023/11/25, 20, , 24, 14, , 4
2023/11/26, 18, , 25, 14, , 4
2023/11/27, 28, , 25, 8, , 3
2023/11/28, 14, 5, 24, 9, , 2
2023/11/29, 16, 5, 22, 12, , 3
2023/11/30, 12, 10, 8, 28, , 4
2023/12/1, 33, , , , , 
2023/10/1, 94, , 23, 11, , 5
2023/10/2, 50, , 32, 16, , 5
2023/10/3, 41, , 25, 15, , 4
2023/10/4, 55, , 39, 13, , 5
2023/10/5, 50, , 20, 9, , 2
2023/10/6, 29, , 26, 7, , 3
2023/10/7, 37, , 22, 3, , 2
2023/10/8, 11, , 23, 8, , 3
2023/10/9, 15, , 24, 16, , 4
2023/10/10, 25, , 31, 15, , 4
2023/10/11, 31, , 29, 16, , 4
2023/10/12, 27, , 18, 8, , 2
2023/10/13, 14, , 17, 8, , 4
2023/10/14, 20, , 17, 6, , 2
2023/10/15, 17, , 14, 9, , 2
2023/10/16, 13, , 12, 8, , 3
2023/10/17, 15, , 11, 13, , 5
2023/10/18, 22, , 24, 9, , 3
2023/10/19, 16, , 19, 11, , 3
2023/10/20, 17, , 23, 12, , 2
2023/10/21, 15, , 13, 4, , 2
2023/10/22, 6, , 12, 7, , 2
2023/10/23, 8, , 20, 13, , 4
2023/10/24, 18, , 19, 15, , 3
2023/10/25, 27, , 32, 22, , 6
2023/10/26, 41, , 33, 20, , 6
2023/10/27, 51, , 32, 13, , 4
2023/10/28, 35, , 17, 7, , 2
2023/10/30, 11, , 21, 11, , 3
2023/10/31, 10, , 22, 10, , 3
2023/11/1, 14, , 18, 12, , 2
2023/7/1, 95, , 39, 6, , 6
2023/7/2, 106, , 31, 11, , 5
2023/7/3, 37, , 21, 9, , 4
2023/7/4, 38, , 43, 9, , 4
2023/7/5, 48, , 42, 9, , 4
2023/7/6, 53, , 36, 6, , 2
2023/7/7, 35, , 29, 5, , 3
2023/7/8, 35, , 24, 3, , 1
2023/7/9, 27, , 8, 8, , 1
2023/7/10, 22, , 31, 8, , 3
2023/7/11, 36, , 49, 11, , 3
2023/7/12, 61, , 53, 9, , 3
2023/7/13, 59, , 37, 9, , 2
2023/7/14, 31, , 31, 3, , 2
2023/7/15, 38, , 22, 2, , 2
2023/7/16, 29, , 47, 9, , 4
2023/7/17, 81, , 36, 8, , 3
2023/7/18, 56, , 37, 9, , 3
2023/7/19, 65, , 27, 6, , 2
2023/7/20, 37, , 41, 12, , 4
2023/7/21, 50, , 36, 9, , 4
2023/7/22, 31, , 28, 8, , 4
2023/7/23, 36, , 45, 8, , 3
2023/7/24, 47, , 38, 9, , 4
2023/7/25, 42, , 45, 9, , 4
2023/7/26, 65, , 41, 7, , 3
2023/7/27, 50, , 43, 7, , 3
2023/7/28, 43, , 36, 7, , 4
2023/7/29, 41, , 23, 5, , 3
2023/7/30, 19, , 26, 8, , 3
2023/7/31, 23, , 24, 7, , 2
2023/8/1, 18, , 28, 8, , 2
2023/8/2, 16, , 37, 8, , 2
2023/8/3, 19, , 37, 6, , 2
2023/8/4, 33, , 39, 12, , 4
2023/8/5, 57, , 29, 6, , 3
2023/8/6, 47, , 30, 9, , 4
2023/8/7, 58, , 33, 7, , 3
2023/8/8, 32, , 25, 5, , 3
2023/8/9, 36, , 38, 10, , 3
2023/8/10, 54, , 29, 7, , 3
2023/8/11, 32, , 41, 8, , 4
2023/8/12, 33, , 38, 3, , 2
2023/8/13, 30, , 28, 8, , 3
2023/8/14, 17, , 23, 11, , 2
2023/8/15, 25, , 25, 6, , 2
2023/8/16, 18, , 22, 6, , 2
2023/8/17, 13, , 29, 9, , 3
2023/8/18, 17, , 21, 4, , 4
2023/8/19, 34, , 31, 4, , 3
2023/8/20, 58, , 35, 11, , 4
2023/8/21, 62, , 24, 5, , 3
2023/8/22, 34, , 29, 6, , 2
2023/8/23, 20, , 35, 8, , 3
2023/8/24, 23, , 24, 5, , 2
2023/8/25, 18, , 24, 10, , 4
2023/8/26, 32, , 15, 5, , 2
2023/8/27, 27, , 18, 4, , 2
2023/8/28, 24, , 17, 7, , 2
2023/8/29, 19, , 25, 11, , 3
2023/8/30, 18, , 24, 6, , 2
2023/8/31, 17, , 23, 7, , 3
2023/9/1, 16, , 37, 5, , 3
2023/9/2, 24, , 37, 8, , 4
2023/9/3, 33, , 30, 18, , 5
2023/9/4, 57, , 29, 12, , 5
2023/9/5, 63, , 33, 11, , 4
2023/9/6, 79, , 40, 10, , 4
2023/9/7, 59, , 36, 10, , 4
2023/9/8, 56, , 32, 7, , 4
2023/9/9, 49, , 12, 9, , 3
2023/9/10, 38, , 14, 8, , 2
2023/9/11, 23, , 20, 10, , 3
2023/9/12, 17, , 31, 9, , 4
2023/9/13, 29, , 26, 9, , 3
2023/9/14, 21, , 18, 5, , 2
2023/9/15, 16, , 21, 3, , 2
2023/9/16, 21, , 27, 4, , 3
2023/9/17, 26, , 21, 12, , 2
2023/9/18, 25, , 24, 5, , 3
2023/9/19, 15, , 24, 8, , 3
2023/9/20, 21, , 22, 12, , 4
2023/9/21, 25, , 20, 7, , 4
2023/9/22, 26, , 22, 7, , 1
2023/9/23, 17, , 25, 7, , 1
2023/9/24, 25, , 24, 14, , 2
2023/9/25, 42, , 18, 17, , 4
2023/9/26, 43, , 18, 13, , 3
2023/9/27, 28, , 21, 10, , 4
2023/9/28, 36, , 17, 16, , 4
2023/9/29, 56, , 19, 8, , 3
2023/9/30, 67, , 15, 12, , 6
2023/4/1, 52, , 37, 6, , 2
2023/4/2, 16, 12, 39, 16, , 3
2023/4/3, 24, 20, 35, 18, , 3
2023/4/4, 41, 24, 31, 7, , 1
2023/4/5, 37, 21, 35, 15, , 3
2023/4/6, 44, 10, 37, 10, , 2
2023/4/7, 19, 10, 37, 10, , 2
2023/4/8, 22, 10, 36, 8, , 2
2023/4/9, 23, 17, 39, 16, , 2
2023/4/10, 29, 21, 43, 15, , 3
2023/4/11, 34, 22, 40, 13, , 2
2023/4/12, 32, 25, 52, 18, , 4
2023/4/13, 43, 41, 51, 17, , 3
2023/4/14, 61, 23, 36, 7, , 2
2023/4/15, 52, 10, 22, 6, , 1
2023/4/16, 31, 18, 18, 12, , 2
2023/4/17, 33, 10, 31, 11, , 2
2023/4/18, 25, 6, 27, 9, , 1
2023/4/19, 12, 14, 34, 10, , 2
2023/4/20, 20, 24, 26, 9, , 1
2023/4/21, 29, 27, 29, 3, , 1
2023/4/22, 35, 17, 30, 3, , 1
2023/4/23, 35, 13, 29, 10, , 2
2023/4/24, 26, 15, 32, 9, , 1
2023/4/25, 33, 17, 36, 5, , 1
2023/4/26, 26, 16, 33, 13, , 2
2023/4/27, 43, 19, 35, 12, , 3
2023/4/28, 45, 18, 33, 3, , 1
2023/4/29, 37, 11, 35, 6, , 1
2023/4/30, 27, 13, 37, 8, , 2
2023/5/1, 25, 13, 29, 12, , 3
2023/5/2, 27, 14, 32, 12, , 2
2023/5/3, 26, 9, 28, 10, , 2
2023/5/4, 17, 11, 25, 9, , 2
2023/5/5, 17, 8, 33, 9, , 3
2023/5/6, 19, 8, 34, 5, , 2
2023/5/7, 19, 11, 40, 6, , 2
2023/5/8, 24, 20, 30, 9, , 2
2023/5/9, 23, 16, 38, 13, , 2
2023/5/10, 28, 23, 36, 13, , 3
2023/5/11, 50, 19, 45, 17, , 4
2023/5/12, 41, 17, 40, 8, , 2
2023/5/13, 38, 14, 32, 3, , 1
2023/5/14, 24, 16, 36, 11, , 2
2023/5/15, 22, 28, 48, 10, , 2
2023/5/16, 34, 19, 34, 8, , 1
2023/5/17, 25, 12, 34, 11, , 2
2023/5/18, 17, 17, 36, 9, , 2
2023/5/19, 26, 12, 26, 5, , 2
2023/5/20, 39, 15, 33, 4, , 2
2023/5/21, 44, 20, 27, 5, , 1
2023/5/22, 40, 18, 25, 8, , 2
2023/5/23, 30, 14, 37, 12, , 3
2023/5/24, 26, 9, 25, 6, , 1
2023/5/25, 17, 14, 32, 9, , 2
2023/5/26, 22, 14, 40, 7, , 3
2023/5/27, 29, 14, 45, 5, , 2
2023/5/28, 33, 17, 37, 4, , 2
2023/5/29, 30, 21, 22, 5, , 2
2023/5/30, 29, 24, 37, 7, , 2
2023/5/31, 43, 29, 53, 9, , 3
2023/6/1, 63, 30, 55, 15, , 3
2023/6/2, 60, 16, 16, 2, , 1
2023/6/3, 36, 4, 16, 2, , 1
2023/6/4, 10, 6, 16, 8, , 2
2023/6/5, 13, 33, 32, 8, , 3
2023/6/6, 81, 21, 25, 8, , 3
2023/6/7, 60, 21, 22, 9, , 3
2023/6/8, 65, 18, 18, 11, , 4
2023/6/9, 48, 15, 20, 10, , 3
2023/6/10, 52, 17, 43, 7, , 3
2023/6/11, 47, 36, 48, 10, , 2
2023/6/12, 91, 24, 32, 8, , 2
2023/6/13, 60, 18, 38, 9, , 3
2023/6/14, 48, , 38, 11, , 3
2023/6/15, 40, , 41, 10, , 3
2023/6/16, 57, , 38, 7, , 3
2023/6/17, 45, , 24, 3, , 2
2023/6/18, 17, , 19, 5, , 2
2023/6/19, 16, , 20, 6, , 2
2023/6/20, 16, , 21, 4, , 2
2023/6/21, 16, , 20, 4, , 1
2023/6/22, 19, , 23, 9, , 2
2023/6/23, 27, , 28, 3, , 2
2023/6/24, 19, , 33, 3, , 3
2023/6/25, 29, , 31, 7, , 3
2023/6/26, 35, , 42, 8, , 2
2023/6/27, 37, , 37, 8, , 2
2023/6/28, 35, , 37, 8, , 6
2023/6/29, 51, , 36, 13, , 8
2023/6/30, 62, , 46, 10, , 6
2023/1/3, 38, 17, 2, 23, , 6
2023/1/4, 53, 16, 8, 17, , 4
2023/1/5, 49, 6, 17, 9, , 3
2023/1/6, 16, 9, 15, 17, , 3
2023/1/7, 35, 12, 20, 11, , 3
2023/1/8, 31, 11, 23, 12, , 3
2023/1/9, 24, 16, 16, 17, , 3
2023/1/10, 43, 12, 25, 14, , 3
2023/1/11, 28, 12, 16, 16, , 3
