date,pm25,no2
2014-01-01,,
2014-01-02,47,
2014-01-03,45,
2014-01-04,38,
2014-01-05,54,
2014-01-06,57,
2014-01-07,38,
2014-01-08,45,
2014-01-09,57,
2014-01-10,62,
2014-01-11,83,
2014-01-12,43,
2014-01-13,27,
2014-01-14,52,
2014-01-15,45,
2014-01-16,57,
2014-01-17,80,
2014-01-18,71,
2014-01-19,51,
2014-01-20,52,
2014-01-21,,
2014-01-22,48,
2014-01-23,55,
2014-01-24,61,
2014-01-25,51,
2014-01-26,59,
2014-01-27,50,
2014-01-28,59,
2014-01-29,43,
2014-01-30,59,
2014-01-31,60,
2014-02-01,68,
2014-02-02,71,
2014-02-03,67,
2014-02-04,55,
2014-02-05,66,
2014-02-06,50,
2014-02-07,60,
2014-02-08,65,
2014-02-09,63,
2014-02-10,57,
2014-02-11,68,
2014-02-12,64,
2014-02-13,54,
2014-02-14,30,
2014-02-15,32,
2014-02-16,82,
2014-02-17,42,
2014-02-18,34,
2014-02-19,56,
2014-02-20,76,
2014-02-21,58,
2014-02-22,36,
2014-02-24,,
2014-02-25,36,
2014-02-26,48,
2014-02-27,46,
2014-02-28,53,
2014-03-01,49,
2014-03-02,61,
2014-03-03,73,
2014-03-04,45,
2014-03-05,52,
2014-03-06,53,
2014-03-07,51,
2014-03-08,59,
2014-03-09,68,
2014-03-10,45,
2014-03-11,56,
2014-03-12,70,
2014-03-13,96,
2014-03-14,34,
2014-03-15,45,
2014-03-16,51,
2014-03-17,25,
2014-03-18,36,
2014-03-19,36,
2014-03-20,52,
2014-03-21,51,
2014-03-22,37,
2014-03-23,47,
2014-03-24,39,
2014-03-25,33,
2014-03-26,48,
2014-03-27,45,
2014-03-28,38,
2014-03-29,50,
2014-03-30,15,
2014-03-31,30,
2014-04-01,29,
2014-04-02,57,
2014-04-03,51,
2014-04-04,46,
2014-04-05,40,
2014-04-06,35,
2014-04-07,46,
2014-04-08,35,
2014-04-09,32,
2014-04-10,39,
2014-04-11,55,
2014-04-12,41,
2014-04-13,47,
2014-04-14,38,
2014-04-15,36,
2014-04-16,39,
2014-04-17,34,
2014-04-18,45,
2014-04-19,54,
2014-04-20,31,
2014-04-21,36,
2014-04-22,49,
2014-04-23,46,
2014-04-24,21,
2014-04-25,28,
2014-04-26,25,
2014-04-27,27,
2014-04-28,24,
2014-04-29,35,
2014-04-30,29,
2014-05-01,48,
2014-05-02,40,
2014-05-03,30,
2014-05-04,32,
2014-05-05,19,
2014-05-06,22,
2014-05-07,36,
2014-05-08,39,
2014-05-09,61,
2014-05-11,,
2014-05-12,45,
2014-05-13,29,
2014-05-14,33,
2014-05-15,36,
2014-05-16,33,
2014-05-17,29,
2014-05-18,26,
2014-05-19,34,
2014-05-20,30,
2014-05-21,32,
2014-05-22,27,
2014-05-23,29,
2014-05-24,26,
2014-05-25,40,
2014-05-26,47,
2014-05-27,48,
2014-05-28,24,
2014-05-29,35,
2014-05-30,42,
2014-05-31,27,
2014-06-01,44,
2014-06-02,44,
2014-06-03,49,
2014-06-04,25,
2014-06-05,31,
2014-06-06,33,
2014-06-07,26,
2014-06-08,35,
2014-06-09,43,
2014-06-10,45,
2014-06-11,25,
2014-06-12,26,
2014-06-13,33,
2014-06-14,31,
2014-06-15,20,
2014-06-16,34,
2014-06-17,49,
2014-06-18,54,
2014-06-19,30,
2014-06-20,31,
2014-06-21,28,
2014-06-22,32,
2014-06-23,41,
2014-06-24,42,
2014-06-25,46,
2014-06-26,35,
2014-06-27,29,
2014-06-28,50,
2014-06-29,48,
2014-06-30,46,
2014-07-01,47,
2014-07-02,50,
2014-07-03,57,
2014-07-04,35,
2014-07-05,24,
2014-07-06,39,
2014-07-07,60,
2014-07-08,63,
2014-07-09,46,
2014-07-10,40,
2014-07-11,45,
2014-07-12,49,
2014-07-13,38,
2014-07-14,49,
2014-07-15,41,
2014-07-16,42,
2014-07-17,40,
2014-07-18,53,
2014-07-19,59,
2014-07-20,39,
2014-07-21,43,
2014-07-22,54,
2014-07-23,51,
2014-07-24,38,
2014-07-25,60,
2014-07-26,50,
2014-07-27,47,
2014-07-28,46,
2014-07-29,33,
2014-07-30,36,
2014-07-31,47,
2014-08-01,59,
2014-08-02,43,
2014-08-03,39,
2014-08-04,51,
2014-08-05,56,
2014-08-06,54,
2014-08-07,55,
2014-08-08,42,
2014-08-09,47,
2014-08-10,54,
2014-08-11,52,
2014-08-12,35,
2014-08-13,50,
2014-08-14,34,
2014-08-15,47,
2014-08-16,41,
2014-08-17,,
2014-08-18,43,
2014-08-19,49,
2014-08-20,55,
2014-08-21,48,
2014-08-22,37,
2014-08-23,32,
2014-08-24,46,
2014-08-25,58,
2014-08-26,59,
2014-08-27,58,
2014-08-28,53,
2014-08-29,32,
2014-08-30,39,
2014-08-31,47,
2014-09-01,49,
2014-09-02,56,
2014-09-03,49,
2014-09-04,52,
2014-09-05,61,
2014-09-06,59,
2014-09-07,28,
2014-09-08,39,
2014-09-09,35,
2014-09-10,44,
2014-09-11,49,
2014-09-12,29,
2014-09-14,,
2014-09-15,18,
2014-09-16,47,
2014-09-17,46,
2014-09-18,52,
2014-09-19,47,
2014-09-21,,
2014-09-22,40,
2014-09-23,44,
2014-09-24,46,
2014-09-25,43,
2014-09-26,50,
